dataset,data_path,knn_k,run_seed,split_seed,train_seed,seed_offset,task_stage,save_init_artifact,load_init_artifact,experiment,variant_key,variant_label,model_family,model_kind,predictor,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,selection,sigma_match,lambda_base,lambda_multiplier,goal0_target_reference,goal1_group,goal1_target_reference,_best_cfg,artifacts_dir,test_cindex,best_val_cindex,best_epoch,mean_Ksoft,mean_Khard,affinity_artifact,init_artifact,gene_union_count,gene_freq_ge_threshold_count,effective_gene_count,status,error,elapsed_sec,split_block_id,fixed_init_source_seed,fixed_init_source_variant_key,dataset_selected_mean_Khard,dataset_target_mean_Khard,dataset_khard_delta,dataset_selected_summary_stage,dataset_selected_summary_file
brca,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/processed/tcga_brca20260214_001423,5,123,123,123,0,screen,True,,goal1,goal1_nosmooth_concrete_lamx1p5,Concrete nosmooth x1.5,Concrete,gated,mlp,concrete,0.1,0.0033,0.0,goal1_nosmooth_sweep,exact,0.0022,1.5,False,nosmooth,False,"{'gated_lr': 0.001, 'gating_hidden_dim': 64, 'lr_schedule': None, 'temp_schedule': None, 'gate_hidden_dropout_p': 0.0, 'patience': 20, 'gate_weight_decay': None}",/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts,0.6240786240786241,0.8355263157894737,12,175.3926239013672,164.36978149414062,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts/brca__goal1__screen__goal1_nosmooth_concrete_lamx1p5__seed123_aff.npy,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts/brca__goal1__screen__goal1_nosmooth_concrete_lamx1p5__seed123_init.pt,7114.0,688.0,1991.6603214547265,ok,,2.9460344314575195,,,,,,,,
brca,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/processed/tcga_brca20260214_001423,5,127,127,127,4,screen,True,,goal1,goal1_nosmooth_concrete_lamx1p5,Concrete nosmooth x1.5,Concrete,gated,mlp,concrete,0.1,0.0033,0.0,goal1_nosmooth_sweep,exact,0.0022,1.5,False,nosmooth,False,"{'gated_lr': 0.001, 'gating_hidden_dim': 64, 'lr_schedule': None, 'temp_schedule': None, 'gate_hidden_dropout_p': 0.0, 'patience': 20, 'gate_weight_decay': None}",/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts,0.647010647010647,0.5680473372781065,7,306.0653991699219,284.0096435546875,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts/brca__goal1__screen__goal1_nosmooth_concrete_lamx1p5__seed127_aff.npy,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts/brca__goal1__screen__goal1_nosmooth_concrete_lamx1p5__seed127_init.pt,9047.0,1357.0,2957.3508229564286,ok,,2.521209955215454,,,,,,,,
brca,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/processed/tcga_brca20260214_001423,5,126,126,126,3,screen,True,,goal1,goal1_nosmooth_concrete_lamx2p0,Concrete nosmooth x2,Concrete,gated,mlp,concrete,0.1,0.0044,0.0,goal1_nosmooth_sweep,exact,0.0022,2.0,False,nosmooth,False,"{'gated_lr': 0.001, 'gating_hidden_dim': 64, 'lr_schedule': None, 'temp_schedule': None, 'gate_hidden_dropout_p': 0.0, 'patience': 20, 'gate_weight_decay': None}",/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts,0.563963963963964,0.660069848661234,9,158.19964599609375,143.82315063476562,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts/brca__goal1__screen__goal1_nosmooth_concrete_lamx2p0__seed126_aff.npy,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts/brca__goal1__screen__goal1_nosmooth_concrete_lamx2p0__seed126_init.pt,7464.0,587.0,2355.4971600754457,ok,,3.747681617736816,,,,,,,,
brca,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/processed/tcga_brca20260214_001423,5,125,125,125,2,screen,True,,goal1,goal1_nosmooth_concrete_lamx2p5,Concrete nosmooth x2.5,Concrete,gated,mlp,concrete,0.1,0.0055,0.0,goal1_nosmooth_sweep,exact,0.0022,2.5,False,nosmooth,False,"{'gated_lr': 0.001, 'gating_hidden_dim': 64, 'lr_schedule': None, 'temp_schedule': None, 'gate_hidden_dropout_p': 0.0, 'patience': 20, 'gate_weight_decay': None}",/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts,0.6738738738738739,0.7301587301587301,12,119.49605560302734,107.49195861816406,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts/brca__goal1__screen__goal1_nosmooth_concrete_lamx2p5__seed125_aff.npy,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts/brca__goal1__screen__goal1_nosmooth_concrete_lamx2p5__seed125_init.pt,7284.0,413.0,2090.415078632784,ok,,5.445466756820679,,,,,,,,
brca,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/processed/tcga_brca20260214_001423,5,124,124,124,1,screen,True,,goal1,goal1_nosmooth_concrete_lamx3p0,Concrete nosmooth x3,Concrete,gated,mlp,concrete,0.1,0.0066,0.0,goal1_nosmooth_sweep,exact,0.0022,3.0,False,nosmooth,False,"{'gated_lr': 0.001, 'gating_hidden_dim': 64, 'lr_schedule': None, 'temp_schedule': None, 'gate_hidden_dropout_p': 0.0, 'patience': 20, 'gate_weight_decay': None}",/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts,0.5511875511875511,0.646,12,92.60696411132812,82.9356918334961,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts/brca__goal1__screen__goal1_nosmooth_concrete_lamx3p0__seed124_aff.npy,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts/brca__goal1__screen__goal1_nosmooth_concrete_lamx3p0__seed124_init.pt,4852.0,355.0,1318.541397395443,ok,,5.439254999160767,,,,,,,,
brca,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/processed/tcga_brca20260214_001423,5,123,123,123,0,screen,True,,goal1,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,gated,mlp,lspin_tf,0.1,0.007,0.0,goal1_nosmooth_sweep,exact,0.007,1.0,False,nosmooth,True,"{'gated_lr': 0.002, 'gating_hidden_dim': 64, 'lr_schedule': None, 'temp_schedule': None, 'gate_hidden_dropout_p': 0.0, 'patience': 10, 'gate_weight_decay': 0.0}",/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts,0.5977067977067977,0.8453947368421053,24,214.83395385742188,214.90675354003903,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts/brca__goal1__screen__goal1_nosmooth_lspin_lamx1p0__seed123_aff.npy,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts/brca__goal1__screen__goal1_nosmooth_lspin_lamx1p0__seed123_init.pt,4369.0,642.0,810.5633479081744,ok,,4.532356262207031,,,,,,,,
brca,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/processed/tcga_brca20260214_001423,5,127,127,127,4,screen,True,,goal1,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,gated,mlp,lspin_tf,0.1,0.007,0.0,goal1_nosmooth_sweep,exact,0.007,1.0,False,nosmooth,True,"{'gated_lr': 0.002, 'gating_hidden_dim': 64, 'lr_schedule': None, 'temp_schedule': None, 'gate_hidden_dropout_p': 0.0, 'patience': 10, 'gate_weight_decay': 0.0}",/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts,0.6325962325962325,0.6715976331360947,8,342.6837463378906,342.7073974609375,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts/brca__goal1__screen__goal1_nosmooth_lspin_lamx1p0__seed127_aff.npy,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts/brca__goal1__screen__goal1_nosmooth_lspin_lamx1p0__seed127_init.pt,4428.0,1117.0,1138.3651008402392,ok,,2.855822324752808,,,,,,,,
brca,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/processed/tcga_brca20260214_001423,5,126,126,126,3,screen,True,,goal1,goal1_nosmooth_lspin_lamx1p25,LSPIN nosmooth x1.2,LSPIN,gated,mlp,lspin_tf,0.1,0.00875,0.0,goal1_nosmooth_sweep,exact,0.007,1.25,False,nosmooth,False,"{'gated_lr': 0.002, 'gating_hidden_dim': 64, 'lr_schedule': None, 'temp_schedule': None, 'gate_hidden_dropout_p': 0.0, 'patience': 10, 'gate_weight_decay': 0.0}",/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts,0.5531531531531532,0.6344586728754366,10,245.04788208007807,244.980712890625,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts/brca__goal1__screen__goal1_nosmooth_lspin_lamx1p25__seed126_aff.npy,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts/brca__goal1__screen__goal1_nosmooth_lspin_lamx1p25__seed126_init.pt,4212.0,664.0,762.9621866469743,ok,,2.776674270629883,,,,,,,,
brca,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/processed/tcga_brca20260214_001423,5,125,125,125,2,screen,True,,goal1,goal1_nosmooth_lspin_lamx1p5,LSPIN nosmooth x1.5,LSPIN,gated,mlp,lspin_tf,0.1,0.0105,0.0,goal1_nosmooth_sweep,exact,0.007,1.5,False,nosmooth,False,"{'gated_lr': 0.002, 'gating_hidden_dim': 64, 'lr_schedule': None, 'temp_schedule': None, 'gate_hidden_dropout_p': 0.0, 'patience': 10, 'gate_weight_decay': 0.0}",/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts,0.6401310401310402,0.7142857142857143,10,219.2805938720703,219.3247528076172,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts/brca__goal1__screen__goal1_nosmooth_lspin_lamx1p5__seed125_aff.npy,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts/brca__goal1__screen__goal1_nosmooth_lspin_lamx1p5__seed125_init.pt,3773.0,624.0,711.8688363530281,ok,,3.042078733444214,,,,,,,,
brca,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/processed/tcga_brca20260214_001423,5,124,124,124,1,screen,True,,goal1,goal1_nosmooth_lspin_lamx2p0,LSPIN nosmooth x2,LSPIN,gated,mlp,lspin_tf,0.1,0.014,0.0,goal1_nosmooth_sweep,exact,0.007,2.0,False,nosmooth,False,"{'gated_lr': 0.002, 'gating_hidden_dim': 64, 'lr_schedule': None, 'temp_schedule': None, 'gate_hidden_dropout_p': 0.0, 'patience': 10, 'gate_weight_decay': 0.0}",/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts,0.6122850122850123,0.6,17,152.56085205078125,152.51126098632812,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts/brca__goal1__screen__goal1_nosmooth_lspin_lamx2p0__seed124_aff.npy,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts/brca__goal1__screen__goal1_nosmooth_lspin_lamx2p0__seed124_init.pt,3019.0,396.0,453.42387318618114,ok,,3.9061121940612793,,,,,,,,
brca,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/processed/tcga_brca20260214_001423,5,123,123,123,0,screen,True,,goal1,goal1_nosmooth_lspin_lamx2p5,LSPIN nosmooth x2.5,LSPIN,gated,mlp,lspin_tf,0.1,0.0175,0.0,goal1_nosmooth_sweep,exact,0.007,2.5,False,nosmooth,False,"{'gated_lr': 0.002, 'gating_hidden_dim': 64, 'lr_schedule': None, 'temp_schedule': None, 'gate_hidden_dropout_p': 0.0, 'patience': 10, 'gate_weight_decay': 0.0}",/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts,0.5185913185913186,0.8601973684210527,16,135.26853942871094,135.27651977539062,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts/brca__goal1__screen__goal1_nosmooth_lspin_lamx2p5__seed123_aff.npy,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts/brca__goal1__screen__goal1_nosmooth_lspin_lamx2p5__seed123_init.pt,2948.0,323.0,402.51170568156937,ok,,4.347317457199097,,,,,,,,
brca,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/processed/tcga_brca20260214_001423,5,127,127,127,4,screen,True,,goal1,goal1_nosmooth_lspin_lamx2p5,LSPIN nosmooth x2.5,LSPIN,gated,mlp,lspin_tf,0.1,0.0175,0.0,goal1_nosmooth_sweep,exact,0.007,2.5,False,nosmooth,False,"{'gated_lr': 0.002, 'gating_hidden_dim': 64, 'lr_schedule': None, 'temp_schedule': None, 'gate_hidden_dropout_p': 0.0, 'patience': 10, 'gate_weight_decay': 0.0}",/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts,0.6887796887796888,0.6686390532544378,10,180.48538208007807,180.4630279541016,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts/brca__goal1__screen__goal1_nosmooth_lspin_lamx2p5__seed127_aff.npy,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts/brca__goal1__screen__goal1_nosmooth_lspin_lamx2p5__seed127_init.pt,2930.0,448.0,481.1611497443466,ok,,3.0386946201324463,,,,,,,,
brca,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/processed/tcga_brca20260214_001423,5,126,126,126,3,screen,True,,goal1,goal1_nosmooth_lspin_lamx3p0,LSPIN nosmooth x3,LSPIN,gated,mlp,lspin_tf,0.1,0.021,0.0,goal1_nosmooth_sweep,exact,0.007,3.0,False,nosmooth,False,"{'gated_lr': 0.002, 'gating_hidden_dim': 64, 'lr_schedule': None, 'temp_schedule': None, 'gate_hidden_dropout_p': 0.0, 'patience': 10, 'gate_weight_decay': 0.0}",/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts,0.5988533988533988,0.6228172293364377,11,146.9964141845703,146.94534301757812,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts/brca__goal1__screen__goal1_nosmooth_lspin_lamx3p0__seed126_aff.npy,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts/brca__goal1__screen__goal1_nosmooth_lspin_lamx3p0__seed126_init.pt,3629.0,313.0,419.8687380324292,ok,,3.827333450317383,,,,,,,,
